posicao,time,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra
1,Flamengo,60,28,18,6,4,55,23
2,Palmeiras,57,28,16,9,3,47,21
3,Athletico Paranaense,49,28,14,7,7,43,32
4,Fluminense,48,28,13,9,6,44,36
5,Bahia,46,28,12,10,6,43,35
6,Cruzeiro,45,28,13,6,9,42,40
7,Atlético-MG,40,27,11,7,9,36,32
8,Santos,38,27,10,8,9,41,40
9,Coritiba,38,28,10,8,10,37,43
10,Red Bull Bragantino,36,27,10,6,11,33,31
11,São Paulo,36,27,10,6,11,32,30
12,Botafogo,35,28,9,8,11,41,45
13,Vitória,33,28,9,6,13,28,42
14,Corinthians,32,28,8,8,12,29,32
15,Mirassol,32,28,8,8,12,33,42
16,Vasco da Gama,31,27,8,7,12,34,41
17,Grêmio,29,28,7,8,13,30,38
18,Internacional,28,28,6,10,12,30,36
19,Remo,23,28,5,8,15,32,47
20,Chapecoense,18,27,3,9,15,29,53
