posicao,time,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra
1,Barcelona,21,7,7,0,0,31,7
2,Atlético Madrid,16,7,5,1,1,16,7
3,Real Betis,16,7,5,1,1,9,7
4,Real Madrid,15,7,5,0,2,18,8
5,Sevilla,13,7,4,1,2,10,9
6,Alavés,11,7,3,2,2,11,6
7,Deportivo,10,7,2,4,1,10,8
8,Real Sociedad,10,7,3,1,3,9,13
9,Villarreal,8,7,2,2,3,13,12
10,Athletic Club,8,6,2,2,2,7,6
11,Getafe,8,7,2,2,3,4,7
12,Rayo Vallecano,8,7,2,2,3,11,16
13,Osasuna,8,7,2,2,3,6,13
14,Celta Vigo,7,7,1,4,2,8,6
15,Espanyol,7,7,2,1,4,10,10
16,Racing Santander,7,7,2,1,4,11,21
17,Levante,5,6,1,2,3,8,12
18,Elche,5,7,1,2,4,11,17
19,Valencia,4,7,1,1,5,4,13
20,Málaga,3,7,0,3,4,3,12
